Iteration, Program, Size, Current Time, Running Average
1, ./seq, 64, 0.000013, .00001300000000000000
2, ./seq, 64, 0.000012, .00001250000000000000
3, ./seq, 64, 0.000013, .00001266666666666666
4, ./seq, 64, 0.000013, .00001275000000000000
5, ./seq, 64, 0.000012, .00001260000000000000
6, ./seq, 64, 0.000013, .00001266666666666666
7, ./seq, 64, 0.000012, .00001257142857142857
8, ./seq, 64, 0.000013, .00001262500000000000
9, ./seq, 64, 0.000013, .00001266666666666666
10, ./seq, 64, 0.000012, .00001260000000000000
1, ./seq, 128, 0.000049, .00004900000000000000
2, ./seq, 128, 0.000046, .00004750000000000000
3, ./seq, 128, 0.000046, .00004700000000000000
4, ./seq, 128, 0.000046, .00004675000000000000
5, ./seq, 128, 0.000060, .00004940000000000000
6, ./seq, 128, 0.000047, .00004900000000000000
7, ./seq, 128, 0.000046, .00004857142857142857
8, ./seq, 128, 0.000047, .00004837500000000000
9, ./seq, 128, 0.000047, .00004822222222222222
10, ./seq, 128, 0.000051, .00004850000000000000
1, ./seq, 256, 0.000180, .00018000000000000000
2, ./seq, 256, 0.000177, .00017850000000000000
3, ./seq, 256, 0.000182, .00017966666666666666
4, ./seq, 256, 0.000178, .00017925000000000000
5, ./seq, 256, 0.000181, .00017960000000000000
6, ./seq, 256, 0.000178, .00017933333333333333
7, ./seq, 256, 0.000181, .00017957142857142857
8, ./seq, 256, 0.000182, .00017987500000000000
9, ./seq, 256, 0.000183, .00018022222222222222
10, ./seq, 256, 0.000192, .00018140000000000000
1, ./seq, 512, 0.000717, .00071700000000000000
2, ./seq, 512, 0.000802, .00075950000000000000
3, ./seq, 512, 0.000945, .00082133333333333333
4, ./seq, 512, 0.000712, .00079400000000000000
5, ./seq, 512, 0.000715, .00077820000000000000
6, ./seq, 512, 0.000750, .00077350000000000000
7, ./seq, 512, 0.000710, .00076442857142857142
8, ./seq, 512, 0.000714, .00075812500000000000
9, ./seq, 512, 0.000806, .00076344444444444444
10, ./seq, 512, 0.000774, .00076450000000000000
1, ./seq, 1024, 0.002922, .00292200000000000000
2, ./seq, 1024, 0.002917, .00291950000000000000
3, ./seq, 1024, 0.003247, .00302866666666666666
4, ./seq, 1024, 0.002915, .00300025000000000000
5, ./seq, 1024, 0.002886, .00297740000000000000
6, ./seq, 1024, 0.002906, .00296550000000000000
7, ./seq, 1024, 0.002867, .00295142857142857142
8, ./seq, 1024, 0.003076, .00296700000000000000
9, ./seq, 1024, 0.002936, .00296355555555555555
10, ./seq, 1024, 0.002928, .00296000000000000000
1, ./seq, 2048, 0.011565, .01156500000000000000
2, ./seq, 2048, 0.015744, .01365450000000000000
3, ./seq, 2048, 0.011575, .01296133333333333333
4, ./seq, 2048, 0.011560, .01261100000000000000
5, ./seq, 2048, 0.011563, .01240140000000000000
6, ./seq, 2048, 0.011472, .01224650000000000000
7, ./seq, 2048, 0.011554, .01214757142857142857
8, ./seq, 2048, 0.011540, .01207162500000000000
9, ./seq, 2048, 0.011570, .01201588888888888888
10, ./seq, 2048, 0.013193, .01213360000000000000
1, ./seq, 4096, 0.046239, .04623900000000000000
2, ./seq, 4096, 0.046553, .04639600000000000000
3, ./seq, 4096, 0.046233, .04634166666666666666
4, ./seq, 4096, 0.046198, .04630575000000000000
5, ./seq, 4096, 0.046397, .04632400000000000000
6, ./seq, 4096, 0.046648, .04637800000000000000
7, ./seq, 4096, 0.045827, .04629928571428571428
8, ./seq, 4096, 0.047117, .04640150000000000000
9, ./seq, 4096, 0.047501, .04652366666666666666
10, ./seq, 4096, 0.046623, .04653360000000000000
1, ./seq, 8192, 0.188282, .18828200000000000000
2, ./seq, 8192, 0.187562, .18792200000000000000
3, ./seq, 8192, 0.190323, .18872233333333333333
4, ./seq, 8192, 0.186290, .18811425000000000000
5, ./seq, 8192, 0.189893, .18847000000000000000
6, ./seq, 8192, 0.194313, .18944383333333333333
7, ./seq, 8192, 0.187122, .18911214285714285714
8, ./seq, 8192, 0.192790, .18957187500000000000
9, ./seq, 8192, 0.188061, .18940400000000000000
10, ./seq, 8192, 0.190260, .18948960000000000000
1, ./seq, 16384, 0.753165, .75316500000000000000
2, ./seq, 16384, 0.765536, .75935050000000000000
